nom;couleur;stock;prix;description;hauteur;profondeur;largeur
sac à dos maternelle;pirate;2;25;sac à dos en coton entoilé entièrement doublé avec une poche sur le devant fermée par une pression, une poignée et deux bretelles;25;8;20
sac à dos maternelle;dinosaure;2;25;sac à dos en coton entoilé entièrement doublé avec une poche sur le devant fermée par une pression, une poignée et deux bretelles;25;8;20
sac à dos maternelle;jaune;2;25;sac à dos en coton entoilé entièrement doublé avec une poche sur le devant fermée par une pression, une poignée et deux bretelles;25;8;20
sac à dos maternelle;rose et vert;2;25;sac à dos en coton entoilé entièrement doublé avec une poche sur le devant fermée par une pression, une poignée et deux bretelles;25;8;20
trousse d'école plate doublée;jaune;0;10;en coton enduit doublée de coton;11,5;0;23
trousse d'école plate doublée;grise étoile bleue;1;10;en coton enduit doublée de coton;11,5;0;23
trousse d'école plate doublée;grise étoile jaune;1;10;en coton enduit doublée de coton;11,5;0;23
trousse d'école plate doublée;bleu ciel pois blanc;1;10;en coton enduit doublée de coton;11,5;0;23
trousse d'école plate doublée;rouge pois blanc;0;10;en coton enduit doublée de coton;11,5;0;23
trousse d'école plate doublée;bleu marine pois blanc;0;10;en coton enduit doublée de coton;11,5;0;23
trousse d'école plate doublée;fushia pois blanc;0;10;en coton enduit doublée de coton;11,5;0;23
trousse d'école plate doublée;rose;0;10;en coton enduit doublée de coton;11,5;0;23
trousse d'école plate doublée;moustache;1;10;en coton enduit doublée de coton;11,5;0;23
trousse d'école quadri;jaune;1;7;en coton enduit;5;6;19
trousse d'école quadri;rose;2;7;en coton enduit;5;6;19
trousse d'école quadri;grise étoile jaune;0;7;en coton enduit;5;6;19
trousse d'école quadri;moustache;1;7;en coton enduit;5;6;19
trousse d'école quadri;bleu ciel;0;7;en coton enduit;5;6;19
trousse d'école quadri;rouge;0;7;en coton enduit;5;6;19
trousse d'école quadri;pirate;0;7;en coton enduit;5;6;19
trousse d'école quadri;dinosaure;0;7;en coton enduit;5;6;19
trousse de toilette ;lin blanc;0;15;en coton doublé;11,5;11,5;5
trousse de toilette ;lin beige;0;15;en coton doublé;11,5;11,5;5
